Day,Campaign Name,Platform,Placement,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Feed: News Feed,1249,11,7076,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Explore,41,,49,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,search,4,,1,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Marketplace,123,,132,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,In-Stream Video,18,,42,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,Instagram Stories,2591,16,7954,1,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_reels,392,3,2473,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_lead_gen_multi_submit,4,,106,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Instagram,instagram_explore_grid_home,4,,0,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Facebook Stories,181,5,1229,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,Feed: News Feed,1786,15,7802,1,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels_overlay,108,,156,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_reels,562,2,1816,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_profile_feed,33,,80,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,Facebook,facebook_notification,76,1,171,,,,,,,,
