Day,Campaign Name,Age,Gender,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,39,,94,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,13,,63,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1843,5,5671,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,749,6,1873,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,125,,430,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,240,2,608,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1587,11,4528,1,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,26,,60,,,,,,,,
2025-09-11,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,373,2,1371,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,40,1,91,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,54,,495,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,4,,4,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,483,8,2368,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,145,3,1137,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,16,,56,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1267,6,4419,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,256,4,1029,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,339,5,1569,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,2354,12,6316,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,490,5,1431,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,27,1,66,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,2459,6,6163,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,24,,85,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,977,6,2456,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,135,1,536,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,3,,3,,,,,,,,
2025-09-16,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,219,3,743,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,116,,327,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,525,4,2654,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,19,,81,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,799,3,2016,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,1,,8,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,279,5,2187,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,48,4,479,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,5,,29,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,183,3,1530,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1151,13,4045,,,,,,,,
